file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/components/admin/admin-inquiry-list-row-actions.tsx,C,102,react:useActionState | custom-hooks:useQueuedRouterRefresh | events:1 | jsx-nodes:16,0.00,react-hooks=useActionState; custom-hooks=useQueuedRouterRefresh
web/src/components/admin/admin-inquiry-peek-sheet.tsx,C,222,custom-hooks:useAdminPanelState | events:7 | jsx-nodes:56,0.00,custom-hooks=useAdminPanelState
web/src/components/admin/admin-list-row-tools.tsx,C,205,"react:useState | events:5 | browser:navigator,window | jsx-nodes:61",0.00,heavy state (3 useState)
web/src/components/admin/admin-new-inquiry-sheet.tsx,C,552,"react:useActionState,useEffect,useRef,useState | custom-hooks:useLiveTaxonomy,useQueuedRouterRefresh | events:20 | jsx-nodes:119",0.00,heavy state (14 useState)
web/src/components/admin/admin-page-tabs.tsx,A,52,jsx-nodes:3,0.25,pure presentational
web/src/components/admin/admin-pulse-strip.tsx,A,129,jsx-nodes:9,0.25,pure presentational
web/src/components/admin/admin-responsive-table.tsx,C,209,react:useState | events:6 | jsx-nodes:30,0.00,react-hooks=useState
web/src/components/admin/admin-shell-top-bar.tsx,C,558,"nav:usePathname | custom-hooks:useAdminWorkspace,useShortcutsDrawerHotkey,useUpgradeModal | events:7 | jsx-nodes:76",0.00,navigation hook + state/effect — route-aware interactive shell
web/src/components/admin/admin-shortcuts-drawer.tsx,C,163,custom-hooks:useShortcutsDrawerHotkey | events:1 | browser:window | jsx-nodes:12,0.00,custom-hooks=useShortcutsDrawerHotkey; browser=window
web/src/components/admin/admin-talent-help-popover.tsx,A,42,jsx-nodes:10,0.25,pure presentational
web/src/components/admin/admin-talent-review-sections.tsx,C,750,react:useState | nav:useRouter | events:8 | jsx-nodes:114,0.00,navigation hook + state/effect — route-aware interactive shell
web/src/components/admin/admin-top-bar.tsx,C,63,nav:usePathname | jsx-nodes:3,0.00,nav-hooks=usePathname
web/src/components/admin/admin-workspace-summary-drawer.tsx,C,165,custom-hooks:useAdminWorkspace | events:5 | jsx-nodes:31,0.00,custom-hooks=useAdminWorkspace
web/src/components/admin/agency-switcher.tsx,C,133,react:useState | events:2 | jsx-nodes:24,0.00,react-hooks=useState
web/src/components/admin/booking-header-manager-select.tsx,C,60,react:useActionState | custom-hooks:useQueuedRouterRefresh | events:1 | jsx-nodes:8,0.00,react-hooks=useActionState; custom-hooks=useQueuedRouterRefresh
web/src/components/admin/call-sheet-editor/CallSheetEditorSheet.tsx,C,293,"react:useState,useTransition | events:9 | jsx-nodes:21",0.00,"react-hooks=useState,useTransition"
web/src/components/admin/client-location-places-search.tsx,C,212,"react:useEffect,useRef,useState | events:5 | browser:document | jsx-nodes:21",0.00,heavy state (6 useState)
web/src/components/admin/create-client-account-sheet.tsx,C,184,"react:useEffect,useState | nav:useRouter | custom-hooks:useQueuedRouterRefresh | libs:sonner | events:8 | jsx-nodes:19",0.00,client-only library: sonner
web/src/components/admin/create-client-contact-sheet.tsx,C,117,"react:useEffect,useState | custom-hooks:useQueuedRouterRefresh | libs:sonner | events:4 | jsx-nodes:6",0.00,client-only library: sonner
web/src/components/admin/drawer/drawer-item-row.tsx,B,197,events:2 | jsx-nodes:19,5.97,static JSX wrapper with 2 small handler(s) (density 0.11)
web/src/components/admin/drawer/drawer-pieces.tsx,C,427,events:9 | jsx-nodes:53,0.00,events=9
web/src/components/admin/drawer/drawer-shell.tsx,C,185,custom-hooks:useDashboardPortalThemeClass | events:1 | browser:document | jsx-nodes:19,0.00,custom-hooks=useDashboardPortalThemeClass; browser=document
web/src/components/admin/drawer/use-url-drawer.ts,C,48,"nav:usePathname,useRouter,useSearchParams | jsx-nodes:1",0.00,"nav-hooks=usePathname,useRouter,useSearchParams"
web/src/components/admin/forms/add-contact-form.tsx,C,133,"react:useActionState,useEffect,useRef | jsx-nodes:34",0.00,"react-hooks=useActionState,useEffect,useRef"
web/src/components/admin/forms/admin-new-client-sheet.tsx,C,171,"react:useActionState,useEffect,useState | events:4 | jsx-nodes:45",0.00,"react-hooks=useActionState,useEffect,useState"
web/src/components/admin/forms/manual-booking-form.tsx,C,212,"react:useRef,useState | events:3 | jsx-nodes:76",0.00,"react-hooks=useRef,useState"
web/src/components/admin/forms/new-account-form.tsx,C,259,"react:useActionState,useEffect,useRef,useState | events:8 | jsx-nodes:35",0.00,heavy state (13 useState)
web/src/components/admin/inquiry-peek-drawer.tsx,B,542,events:3 | jsx-nodes:64,9.42,thin interactivity over static shell
web/src/components/admin/inquiry-talent-editor.tsx,C,484,"react:useActionState,useState,useTransition | custom-hooks:useQueuedRouterRefresh | libs:sonner | events:13 | jsx-nodes:110",0.00,client-only library: sonner
web/src/components/admin/inspector/admin-contextual-inspector.tsx,B,69,"nav:usePathname,useSearchParams | jsx-nodes:13",4.69,uses pathname for active-link only — wrap nav strip as island
web/src/components/admin/inspector/inspector-job-section.tsx,C,111,"react:useEffect,useState | events:1 | browser:localStorage | jsx-nodes:11",0.00,"react-hooks=useEffect,useState; browser=localStorage"
web/src/components/admin/inspector/modules/ai-search-inspector.tsx,C,120,react:useState | events:2 | jsx-nodes:24,0.00,heavy state (4 useState)
web/src/components/admin/inspector/modules/bookings-inspector.tsx,C,216,"react:useEffect,useState | jsx-nodes:41",0.00,heavy state (3 useState)
